idUnico;idDestino;tiempoBase;mov1;mov2;mov3
e0;e1;500;CAMINAR
e1;e7;500;CAMINAR
e7;e12;500;CAMINAR
e12;e15;500;CAMINAR
e15;e0;500;CAMINAR
e0;e2;800;SALTAR
e2;e1;100;SALTAR
e1;e3;800;SALTAR
e3;e7;100;SALTAR
e7;e4;800;SALTAR
e4;e12;100;SALTAR
e12;e5;800;SALTAR
e5;e15;100;SALTAR
e0;e5;330;CAMINAR
e0;e10;500;SALTAR
e1;e12;400;CAMINAR;SALTAR
e2;e9;150;SALTAR;PATAS_ARRIBA
e2;e14;380;CAMINAR
e3;e11;280;CAMINAR
e4;e6;80;SALTAR
e4;e13;410;PATAS_ARRIBA
e5;e10;6000;SALTAR
e6;e2;500;CAMINAR;PATAS_ARRIBA
e6;e15;420;SALTAR;PATAS_ARRIBA
e7;e11;410;CAMINAR
e8;e4;160;SALTAR
e8;e13;70;PATAS_ARRIBA
e9;e5;600;CAMINAR;SALTAR
e9;e14;120;CAMINAR;PATAS_ARRIBA
e10;e15;500;CAMINAR;SALTAR;PATAS_ARRIBA
e11;e6;110;CAMINAR
e13;e8;290;CAMINAR;PATAS_ARRIBA
