idOrigen;idDestino;tiempoBase;mov1;mov2;mov3
e0;e1;300;CAMINAR
e1;e3;300;CAMINAR
e3;e5;300;CAMINAR
e5;e7;300;CAMINAR
e7;e9;300;CAMINAR
e9;e11;300;CAMINAR
e11;e13;300;CAMINAR
e13;e15;300;CAMINAR
e15;e17;300;CAMINAR
e17;e19;300;CAMINAR
e19;e0;300;CAMINAR
e0;e2;400;SALTAR
e2;e1;100;SALTAR
e1;e4;400;SALTAR
e4;e3;100;SALTAR
e3;e6;400;SALTAR
e6;e5;100;SALTAR
e5;e8;400;SALTAR
e8;e7;100;SALTAR
e7;e10;400;SALTAR
e10;e9;100;SALTAR
e9;e12;400;SALTAR
e12;e11;100;SALTAR
e11;e14;400;SALTAR
e14;e13;100;SALTAR
e13;e16;400;SALTAR
e16;e15;100;SALTAR
e15;e18;400;SALTAR
e18;e17;100;SALTAR
e17;e0;400;SALTAR
e0;e3;250;PATAS_ARRIBA
e1;e6;320;CAMINAR
e2;e4;150;PATAS_ARRIBA
e2;e6;380;CAMINAR;SALTAR
e2;e7;290;CAMINAR;PATAS_ARRIBA
e3;e5;420;CAMINAR
e3;e7;500;SALTAR
e4;e6;330;CAMINAR;PATAS_ARRIBA
e4;e8;410;SALTAR;PATAS_ARRIBA
e5;e8;90;PATAS_ARRIBA
e6;e8;100;CAMINAR;SALTAR;PATAS_ARRIBA
e7;e9;400;CAMINAR;SALTAR
e8;e9;370;CAMINAR
e9;e10;500;CAMINAR;SALTAR
e10;e12;120;CAMINAR;SALTAR;PATAS_ARRIBA
e10;e13;300;CAMINAR
e10;e14;280;SALTAR
e11;e12;80;CAMINAR;SALTAR
e11;e15;450;CAMINAR;PATAS_ARRIBA
e11;e16;600;SALTAR;PATAS_ARRIBA
e12;e14;7000;SALTAR
e13;e15;140;CAMINAR;PATAS_ARRIBA
e13;e17;400;SALTAR;PATAS_ARRIBA
e14;e16;110;PATAS_ARRIBA
e15;e17;310;CAMINAR;SALTAR;PATAS_ARRIBA
e16;e19;390;CAMINAR;PATAS_ARRIBA
e17;e0;600;CAMINAR
e18;e0;550;CAMINAR;PATAS_ARRIBA
e19;e0;490;SALTAR
